00000000, ffffffff, 00000000, ffffffff, 0, 1, 00000000, ffffffff, 0, 1,                 4166                 2166
3747016e, c8b8fe91, 5b172db6, a4e8d249, 1, 0, 925e2f25, 6da1d0da, 0, 1,               504035                 2563
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               506674                 2639
dd561cba, 22a9e345, a3071a46, 5cf8e5b9, 0, 1, 805d3700, 7fa2c8ff, 1, 0,               510243                 3569
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               512877                 2634
b8ddbe71, 4722418e, 7bd261f7, 842d9e08, 1, 0, 34b02069, cb4fdf96, 1, 0,               516498                 3621
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               519146                 2648
08da4f11, f725b0ee, da6ebab4, 2591454b, 0, 1, e34909c5, 1cb6f63a, 0, 1,               522138                 2992
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               524791                 2653
7ab7b7f5, 8548480a, 147cd928, eb8326d7, 1, 0, 8f34911e, 70cb6ee1, 0, 1,               527550                 2759
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               530170                 2620
4e15179c, b1eae863, e3c530c7, 1c3acf38, 0, 1, 31da4863, ce25b79c, 1, 0,               532960                 2790
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               535581                 2621
ae8a965d, 517569a2, 8477e408, 7b881bf7, 0, 1, 33027a65, ccfd859a, 1, 0,               539095                 3514
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               541718                 2623
62d1e3c5, 9d2e1c3a, fea7a6fd, 01585902, 1, 0, 61798ac3, 9e86753c, 1, 0,               544491                 2773
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               547119                 2628
ac682658, 5397d9a7, 8e37901c, 71c86fe3, 0, 1, 3a9fb674, c560498b, 1, 0,               550722                 3603
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               553365                 2643
7e0a91fc, 81f56e03, ed3408da, 12cbf725, 1, 0, 6b3e9ad7, 94c16528, 1, 0,               556599                 3234
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               559241                 2642
060aad0c, f9f552f3, 334ea766, ccb15899, 0, 1, 39595472, c6a6ab8d, 0, 1,               561710                 2469
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               564339                 2629
0cf04519, f30fbae6, b9f50473, 460afb8c, 0, 1, c6e5498c, 391ab673, 0, 1,               566819                 2480
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               569435                 2616
d2504ca4, 2dafb35b, 2f3ab35e, d0c54ca1, 0, 1, 018b0002, fe74fffd, 1, 0,               574923                 5488
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               577592                 2669
c8975291, 3768ad6e, 6a8e05d5, 9571fa2a, 0, 1, 33255866, ccdaa799, 1, 0,               580337                 2745
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               582948                 2611
a23d6044, 5dc29fbb, dcf000b9, 230fff46, 1, 0, 7f2d60fe, 80d29f01, 1, 0,               586507                 3559
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               589133                 2626
67be1dcf, 9841e230, 4b273796, b4d8c869, 0, 1, b2e55565, 4d1aaa9a, 0, 1,               591671                 2538
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               594290                 2619
d69de2ad, 29621d52, 13259f26, ecda60d9, 0, 1, e9c381d3, 163c7e2c, 0, 1,               597610                 3320
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               600241                 2631
c2e6ee85, 3d19117a, 3e99837d, c1667c82, 0, 1, 01807202, fe7f8dfd, 1, 0,               604068                 3827
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               606703                 2635
b91dca72, 46e2358d, 43615786, bc9ea879, 0, 1, fc7f21f8, 0380de07, 0, 1,               609978                 3275
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               612575                 2597
89bcdc13, 764323ec, 3f5a9b7e, c0a56481, 1, 0, c9177792, 36e8886d, 0, 1,               615320                 2745
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               617934                 2614
bd70687a, 428f9785, e7c3b6cf, 183c4930, 1, 0, a5341f4a, 5acbe0b5, 1, 0,               620972                 3038
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               623638                 2666
cf7baa9e, 30845561, fd28e4fa, 02d71b05, 1, 0, cca48f99, 335b7066, 1, 0,               626291                 2653
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               628911                 2620
16decb2d, e92134d2, 0b940917, f46bf6e8, 1, 0, 2272d445, dd8d2bba, 0, 1,               631667                 2756
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               634277                 2610
68d2abd1, 972d542e, 43779186, bc886e79, 0, 1, ac4a3d57, 53b5c2a8, 0, 1,               637002                 2725
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               639627                 2625
4c551998, b3aae667, 7a8c59f5, 8573a60a, 1, 0, c6e1738e, 391e8c71, 0, 1,               642172                 2545
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               644783                 2611
887a9610, 778569ef, 949a8a29, 6b6575d6, 1, 0, 1d15203a, e2eadfc5, 1, 0,               647595                 2812
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               650223                 2628
18c6f931, e73906ce, e2e574c5, 1d1a8b3a, 0, 1, fbac6df6, 04539209, 0, 1,               653486                 3263
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               656118                 2632
e87676d0, 1789892f, 25b27b4b, da4d84b4, 1, 0, 0e28f21c, f1d70de3, 1, 0,               658846                 2728
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               661486                 2640
9f82ec3f, 607d13c0, f622e6ec, 09dd1913, 0, 1, 95a5d32b, 6a5a2cd4, 1, 0,               663965                 2479
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               666576                 2611
4cb77d99, b3488266, 2758d14e, d8a72eb1, 0, 1, 74104ee7, 8befb118, 0, 1,               669882                 3306
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               672518                 2636
3bccb377, c4334c88, 549efda9, ab610256, 1, 0, 906bb121, 6f944ede, 0, 1,               675495                 2977
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               678175                 2680
f89beaf1, 0764150e, 070bb90e, f8f446f1, 0, 1, ffa7a3ff, 00585c00, 0, 1,               682543                 4368
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               685195                 2652
e8d6a2d1, 17295d2e, cfd6c09f, 30293f60, 0, 1, b8ad6370, 47529c8f, 1, 0,               687947                 2752
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               690561                 2614
fb80eaf7, 047f1508, 155a1d2a, eaa5e2d5, 1, 0, 10db0822, ef24f7dd, 1, 0,               693886                 3325
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               696550                 2664
daf214b5, 250deb4a, 4f75ff9e, b08a0061, 0, 1, 2a681453, d597ebac, 1, 0,               700112                 3562
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               702765                 2653
b15f7462, 4ea08b9d, bccfa879, 43305786, 0, 1, 6e2f1cdb, 91d0e324, 1, 0,               705458                 2693
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               708091                 2633
548eb7a9, ab714856, 652345ca, 9adcba35, 1, 0, b9b1fd74, 464e028b, 0, 1,               711312                 3221
