W_Addr, W1[31:0], W0[31:0], total_time(ps), write_delay(ps)
14, 00000000, 00000000,                94446,                  167
1c, b558a66a, 4aa75995,                94593,                  147
1c, 00000000, 00000000,                94760,                  167
1e, dc4308b8, 23bcf747,                94905,                  145
1e, 00000000, 00000000,                95074,                  169
06, fd7906fa, 0286f905,                95221,                  147
06, 00000000, 00000000,                95391,                  170
13, 83fa6407, 7c059bf8,                95538,                  147
13, 00000000, 00000000,                95708,                  170
17, aada7455, 55258baa,                95852,                  144
17, 00000000, 00000000,                96022,                  170
03, 22d5f145, dd2a0eba,                96168,                  146
03, 00000000, 00000000,                96338,                  170
06, ac93e059, 536c1fa6,                96483,                  145
06, 00000000, 00000000,                96653,                  170
1e, b4497668, 4bb68997,                96802,                  149
1e, 00000000, 00000000,                96971,                  169
1a, c838f490, 37c70b6f,                97116,                  145
1a, 00000000, 00000000,                97285,                  169
19, 0e43851c, f1bc7ae3,                97431,                  146
19, 00000000, 00000000,                97599,                  168
